,No.,material,Formula,CrystalSystem,bulk,shear,young,poisson,Hexp,best,y_cs,y_gap,y_den,y_csbg,y_csden,y_bgden,best-corrected-H4
89,90,mp-19082,TiMnO3,trigonal,159.2,64.9,171.4,0.32,5.1,H5,H2,H1a,H4,H2,H4,H4,H5
90,91,mp-2172,AlAs,cubic,69.7,39.2,99.0,0.26,5.0,H4,H1a,H1a,H2,H5,H5,H5,H5
91,92,mp-22682,In2Pt,cubic,95.0,29.6,80.4,0.36,4.9,H1b,H1a,H4,H4,H1a,H1a,H4,H1b
92,93,mp-1068,CuS2,cubic,77.7,34.4,90.0,0.31,4.8,H1a,H1a,H4,H4,H1a,H1a,H4,H1a
93,94,mp-4368,SbPdSe,cubic,84.7,30.9,82.7,0.34,4.7,H1a,H1a,H4,H4,H1a,H1a,H4,H1a
94,95,mp-1156,GaSb,cubic,44.7,30.0,73.6,0.23,4.5,H1b,H1a,H1a,H4,H5,H1a,H4,H1b
95,96,mp-21765,Pd17Se15,cubic,97.3,26.0,71.6,0.38,4.1,H1b,H1a,H4,H4,H1a,H1a,H4,H1b
96,97,mp-2624,AlSb,cubic,49.3,29.8,74.3,0.25,4.0,H1a,H1a,H1a,H4,H5,H1a,H4,H1a
97,98,mp-20305,InAs,cubic,49.0,25.4,65.0,0.28,3.8,H1a,H1a,H1a,H4,H5,H1a,H4,H1a
98,99,mp-718,SnPd3,cubic,146.0,51.3,137.8,0.34,3.6,H5,H1a,H4,H4,H1a,H1a,H4,H5
99,100,mp-738,Sb2Au,cubic,71.3,23.4,63.4,0.35,2.9,H4,H1a,H4,H4,H1a,H1a,H4,H1a
100,101,mp-5058,FeAgS2,tetragonal,57.9,14.7,40.5,0.38,2.9,H3,H4,H4,H4,H4,H4,H4,H3
101,102,mp-20849,Pd3Pb,cubic,131.3,45.2,121.7,0.35,2.8,H5,H1a,H4,H4,H1a,H1a,H4,H5
102,103,mp-22736,InCuS2,tetragonal,63.7,25.5,67.4,0.32,2.7,H4,H4,H1a,H4,H1a,H4,H4,H4
103,104,mp-510589,MnCuO2,triclinic,111.7,41.4,110.5,0.34,2.6,H5,H5,H1a,H4,H5,H4,H4,H5
104,105,mp-5305,CuAsS,orthorhombic,67.3,29.5,77.1,0.31,2.5,H5,H2,H4,H4,H4,H4,H4,H5
105,106,mp-704645,CuO,monoclinic,145.8,25.4,71.7,0.42,2.5,H4,H4,H4,H4,H4,H4,H4,H2
106,107,mp-22648,FeCu2SnS4,tetragonal,67.8,25.2,67.2,0.33,2.4,H4,H4,H4,H4,H4,H4,H4,H4
107,108,mp-1825,Cu2Sb,tetragonal,92.3,34.6,92.2,0.33,2.3,H5,H4,H4,H4,H4,H4,H4,H5
108,109,mp-20012,InSb,cubic,35.0,19.1,48.4,0.27,2.2,H4,H1a,H4,H4,H1a,H1a,H4,H5
109,110,mp-1070,CdSe,hexagonal,44.4,15.1,40.6,0.35,2.1,H1a,H4,H1a,H4,H1a,H4,H4,H1a
110,111,mp-559200,Cd(InS2)2,cubic,62.7,22.4,60.0,0.34,2.1,H4,H1a,H1a,H4,H5,H1a,H4,H4
111,112,mp-570113,BiAu2,cubic,102.0,20.7,58.0,0.41,2.1,H4,H1a,H4,H4,H1a,H1a,H4,H4
112,113,mp-505244,FeCuSe2,tetragonal,27.8,13.6,35.1,0.29,2.0,H1a,H4,H4,H4,H4,H4,H4,H1a
